id,L,a,b,hex_srgb,in_srgb
489,9.5,-3.25,-3.5,#131C1F,1
490,9.5,-3.125,-0.75,#151C1B,1
491,9.5,-2.875,-22.5,#001D39,0
492,9.5,-2.25,-5.75,#121C22,1
493,9.5,-1.0,-14.125,#071C2D,1
494,9.5,-0.75,-27.625,#001D40,0
495,9.5,-0.75,-4.25,#161B20,1
496,9.5,0.0,-2.25,#191B1D,1
497,9.5,0.75,-5.375,#181A22,1
498,9.5,1.375,-3.25,#1A1A1F,1
499,9.5,1.625,-37.5,#001E4E,0
500,9.5,2.375,-24.0,#001B3B,0
501,9.5,2.375,-1.625,#1D1A1D,1
502,9.5,2.625,-20.625,#021B36,1
503,9.5,2.75,1.375,#1F1919,1
504,9.5,2.875,-4.625,#1B1921,1
505,9.5,3.875,-30.375,#001C44,0
506,9.5,3.875,-2.875,#1E191E,1
507,9.5,4.75,-21.0,#071A37,1
508,9.5,4.75,-0.75,#20181C,1
509,9.5,5.0,-25.0,#001A3C,0
510,9.5,5.25,1.5,#221819,1
511,9.5,5.875,-14.25,#17192E,1
512,9.5,6.625,-1.25,#22171C,1
513,9.5,6.875,2.875,#251717,1
514,9.5,7.375,-18.625,#141834,1
515,9.5,8.125,-14.875,#1A182E,1
516,9.5,8.375,0.875,#26161A,1
517,9.5,9.125,-12.75,#1E172C,1
518,9.5,9.5,3.125,#281617,1
519,9.5,10.75,0.75,#28151A,1
520,9.5,12.25,3.0,#2B1417,1
521,9.5,12.5,-22.375,#181639,1
522,9.5,12.875,-25.75,#13163D,1
523,9.5,13.125,-19.75,#1D1535,1
524,9.5,14.0,5.5,#2D1213,1
525,9.5,15.625,3.25,#2E1117,1
526,9.5,15.875,-23.25,#1D143A,1
527,9.5,17.25,-43.125,#001756,0
528,9.5,18.125,5.875,#320F13,1
529,9.5,18.875,-35.25,#08144B,1
530,9.5,20.5,-51.125,#001762,0
531,9.5,20.5,-21.5,#261038,1
532,9.5,20.875,-33.625,#141249,1
