id,L,a,b,hex_srgb,slice_id
14194,16.9375,7.25,-8.5,#2E2736,271
14207,16.9375,13.375,12.0,#402219,271
14237,16.9375,54.75,7.875,#6A0021,271
14325,17.0625,-28.875,-10.125,#003438,273
14399,17.0625,98.375,-72.5,#700098,273
14407,17.125,-14.75,-17.125,#003142,274
14414,17.125,-2.625,1.875,#272B27,274
14451,17.125,24.375,-49.25,#002273,274
14480,17.125,123.625,-93.75,#7B00BB,274
14486,17.1875,-20.5,-23.0,#00334B,275
14530,17.1875,38.25,-37.625,#410F61,275
14552,17.1875,75.25,-46.875,#6A0070,275
14556,17.1875,90.75,-102.75,#0400CA,275
14562,17.1875,116.0,-106.625,#5600D1,275
14563,17.1875,118.375,-90.25,#7800B5,275
14619,17.25,46.375,-6.75,#5F0035,276
14629,17.25,77.125,-74.5,#4C009B,276
14636,17.25,114.875,-78.0,#8100A2,276
14672,17.3125,26.25,-43.5,#20206A,277
14680,17.3125,32.625,15.875,#560E16,277
14694,17.3125,49.0,-16.0,#5E0042,277
14695,17.3125,52.125,-69.375,#190293,277
14784,17.375,60.75,-53.25,#51007A,278
14788,17.375,69.25,-40.875,#680067,278
14799,17.4375,-29.0,-2.75,#00342E,279
14835,17.4375,4.625,9.625,#36281D,279
14871,17.4375,35.125,-57.25,#071B80,279
14883,17.4375,45.625,-46.625,#420370,279
14885,17.4375,52.0,-32.375,#59005A,279
14900,17.4375,108.0,-81.0,#7500A7,279
14903,17.5,-73.875,17.75,#003C0E,280
14914,17.5,-65.75,20.75,#003B07,280
14937,17.5,-55.625,21.625,#003906,280
