id,L,a,b,hex_srgb,in_srgb
503,16.1875,7.25,-26.25,#14274E,1
504,16.1875,50.5,15.0,#650016,0
505,16.25,-41.25,0.25,#003427,0
506,16.25,18.375,-49.5,#002571,0
507,16.4375,-15.0,-27.25,#00304F,0
508,16.4375,110.25,-73.625,#7D0098,0
509,16.5,-20.0,5.0,#003021,0
510,16.5,-1.375,15.875,#2E2912,1
511,16.5625,-62.75,-9.125,#003935,0
512,16.5625,-58.5,-14.0,#00393C,0
513,16.5625,-56.5,-6.5,#003831,0
514,16.5625,-52.875,-17.875,#003842,0
515,16.5625,-52.25,-11.25,#003738,0
516,16.5625,-46.75,-8.625,#003634,0
517,16.5625,-31.125,-31.625,#003556,0
518,16.5625,2.5,-32.0,#002B57,0
519,16.5625,5.75,-53.5,#002D78,0
520,16.5625,13.75,-56.125,#00297C,0
521,16.5625,18.625,-61.0,#002883,0
522,16.5625,24.875,-64.625,#002589,0
523,16.5625,32.125,-68.25,#00208F,0
524,16.5625,40.125,-44.0,#3A0D69,1
525,16.5625,46.375,-77.25,#00149E,0
526,16.5625,58.125,28.5,#6F0000,0
527,16.5625,63.25,11.25,#72001D,0
528,16.5625,66.25,-68.625,#400090,0
529,16.5625,82.875,-56.125,#6A007D,0
530,16.625,-31.625,3.375,#003324,0
531,16.625,-0.125,9.125,#2E291C,1
532,16.625,36.25,28.625,#5A0300,0
533,16.625,39.375,8.75,#5A001F,0
534,16.625,60.875,-40.75,#5B0065,0
535,16.625,127.0,-112.75,#5D00DA,0
536,16.6875,-47.25,-14.625,#00373D,0
537,16.6875,13.5,-25.125,#26244D,1
538,16.6875,40.125,-73.375,#001A98,0
539,16.6875,42.375,-15.5,#560040,0
540,16.6875,118.125,-118.125,#3300E3,0
541,16.6875,118.5,-84.125,#7E00AA,0
542,16.75,6.625,17.125,#392511,1
543,16.75,18.0,-31.25,#262257,1
544,16.75,66.875,-75.75,#31009C,0
545,16.75,67.625,-5.75,#740034,0
546,16.75,84.5,-41.25,#770067,0
